year,district,constituency,enp
1999,Balaka,Balaka South,2.2496229243292407
1999,Balaka,Balaka West,1.9908484319552697
1999,Balaka,Machinga Central,1.9132999294422786
1999,Balaka,Machinga Central East,1.1224067233996124
1999,Balaka,Machinga East,1.5290878311281653
1999,Balaka,Machinga Likwenu,1.9344697006241265
1999,Balaka,Machinga North-East,1.1684091401791736
1999,Balaka,Machinga South,1.7552523988347988
1999,Balaka,Machinga South-East,1.5874407833731377
1999,Blantyre,Blantyre Bangwe,2.4007156732984245
1999,Blantyre,Blantyre City South-East,1.6777003914511044
1999,Blantyre,Blantyre City-Central,2.36483252380145
1999,Blantyre,Blantyre City-East,1.8053650267600503
1999,Blantyre,Blantyre City-South,2.3795839591294485
1999,Blantyre,Blantyre City-West,2.7810791750906714
1999,Blantyre,Blantyre Kabula,1.8798115967926243
1999,Blantyre,Blantyre Malabada,1.9541616266287065
1999,Blantyre,Blantyre North,1.6612201458750513
1999,Blantyre,Blantyre North-East,2.00554026238674
1999,Blantyre,Blantyre Rural-East,2.0823465732610122
1999,Blantyre,Blantyre South-West,2.9399146407551804
1999,Blantyre,Blantyre West,1.9876743940641768
1999,Chikwawa,Chikwawa Central,1.9984425284992253
1999,Chikwawa,Chikwawa East,1.991582214065611
1999,Chikwawa,Chikwawa Mkombezi,1.9841787526354941
1999,Chikwawa,Chikwawa North,2.017790118911819
1999,Chikwawa,Chikwawa South,2.2059385401156097
1999,Chikwawa,Chikwawa West,1.9678050667898883
1999,Chiradzulu,Chiradzulu Central,1.259150973164898
1999,Chiradzulu,Chiradzulu East,2.116838243008097
1999,Chiradzulu,Chiradzulu North,1.6117856651656497
1999,Chiradzulu,Chiradzulu South,1.4922686807510885
1999,Chiradzulu,Chiradzulu West,2.132444071364903
1999,Chitipa,Chitipa Central,2.0009757908252546
1999,Chitipa,Chitipa East,2.21363277544089
1999,Chitipa,Chitipa North,1.8987798888672887
1999,Chitipa,Chitipa South,1.1864807656703313
1999,Chitipa,Chitipa Wenya,2.0331596181826597
1999,Dedza,Dedza Central,1.554874169804767
1999,Dedza,Dedza Central-East,1.5825073160633463
1999,Dedza,Dedza East,1.9765669611328043
1999,Dedza,Dedza North,1.9915321525876073
1999,Dedza,Dedza North-West,1.4210062970851658
1999,Dedza,Dedza South,1.8882493187261529
1999,Dedza,Dedza South-West,1.7088713180441522
1999,Dedza,Dedza West,1.5153398312912725
1999,Dowa,Dowa Central,1.8083689621758672
1999,Dowa,Dowa East,1.411362917423034
1999,Dowa,Dowa Ngala,1.6872077719768246
1999,Dowa,Dowa North,1.6625451336595969
1999,Dowa,Dowa North-East,2.157545174598447
1999,Dowa,Dowa South-East,2.1928772909638226
1999,Dowa,Dowa West,1.7640460854952258
1999,Karonga,Karonga Central,1.621114956733728
1999,Karonga,Karonga North,1.6434392591702458
1999,Karonga,Karonga North-West,1.928865392241331
1999,Karonga,Karonga Nyungwe,1.5534941829608782
1999,Karonga,Karonga South,1.4830427991974489
1999,Kasungu,Kasungu Central,2.4693407531836
1999,Kasungu,Kasungu East,1.7699465065816606
1999,Kasungu,Kasungu North,2.5140401543633435
1999,Kasungu,Kasungu North-East,1.861722668640493
1999,Kasungu,Kasungu North-North-East,2.3337875538243105
1999,Kasungu,Kasungu North-West,1.8028323515969429
1999,Kasungu,Kasungu South,1.6130878653799223
1999,Kasungu,Kasungu South-East,1.7814887648229556
1999,Kasungu,Kasungu West,1.696266371150112
1999,Lilongwe,Lilongwe Central,1.4778272299900834
1999,Lilongwe,Lilongwe City North,2.0815234514616763
1999,Lilongwe,Lilongwe City South-East,2.270345544412308
1999,Lilongwe,Lilongwe City South-West,2.1449377610653237
1999,Lilongwe,Lilongwe City-Central,2.750264850772826
1999,Lilongwe,Lilongwe City-West,2.1920915402719383
1999,Lilongwe,Lilongwe East,1.314721530057345
1999,Lilongwe,Lilongwe Kumachenga,1.7956779185434963
1999,Lilongwe,Lilongwe Mapuyu North,1.58115276600525
1999,Lilongwe,Lilongwe Mapuyu South,1.5037769330919424
1999,Lilongwe,Lilongwe Mpenu,1.3739783835433246
1999,Lilongwe,Lilongwe Mpenu Nkhoma,1.188888874667524
1999,Lilongwe,Lilongwe Msinja North,1.3469348255901306
1999,Lilongwe,Lilongwe Msinja South,1.3361631753651597
1999,Lilongwe,Lilongwe Msozi North,1.3013908463068669
1999,Lilongwe,Lilongwe Msozi South,1.2615057780927985
1999,Lilongwe,Lilongwe North,1.8912883156739242
1999,Lilongwe,Lilongwe North-East,1.3307543247353837
1999,Lilongwe,Lilongwe North-West,1.7963947033234435
1999,Lilongwe,Lilongwe South,1.3848084862793681
1999,Lilongwe,Lilongwe South-East,1.5978552202024559
1999,Lilongwe,Lilongwe South-West,1.6388469044700236
1999,Mangochi,Mangochi Central,1.3079878504716536
1999,Mangochi,Mangochi East,1.188224448337006
1999,Mangochi,Mangochi Lutende,1.9420501888546118
1999,Mangochi,Mangochi Malombe,1.1592682438180313
1999,Mangochi,Mangochi Masongola,1.8646727739962665
1999,Mangochi,Mangochi Monkey Bay,2.636002774883266
1999,Mangochi,Mangochi Nkungulu,1.192227781763811
1999,Mangochi,Mangochi North,1.2263530240436802
1999,Mangochi,Mangochi North-East,1.4176129709415384
1999,Mangochi,Mangochi South,1.4757693947927248
1999,Mangochi,Mangochi South-West,1.8027117680132685
1999,Mangochi,Mangochi West,2.2308284160054646
1999,Mchinji,Mchinji East,2.3579397254081322
1999,Mchinji,Mchinji North,1.9996475364652413
1999,Mchinji,Mchinji North-East,1.942586045939121
1999,Mchinji,Mchinji South,1.8517471820284583
1999,Mchinji,Mchinji South-West,2.223943255278552
1999,Mulanje,Mulanje Bale,1.695406242024099
1999,Mulanje,Mulanje Central,1.4780731237001141
1999,Mulanje,Mulanje Limbuli,2.9407207677859115
1999,Mulanje,Mulanje North,1.4963678429212082
1999,Mulanje,Mulanje Pasani,1.3308173906458536
1999,Mulanje,Mulanje South,1.8650755548180133
1999,Mulanje,Mulanje South-East,2.167319900392414
1999,Mulanje,Mulanje South-West,2.1945187431905926
1999,Mulanje,Mulanje West,1.7988152429452078
1999,Mwanza,Mwanza Central,1.537121979451533
1999,Mwanza,Mwanza East,1.7527860805636872
1999,Mwanza,Mwanza North,3.2272950538329126
1999,Mwanza,Mwanza West,1.6897284698313833
1999,Mzimba,Mzimba Central,2.661344096161847
1999,Mzimba,Mzimba East,1.7610825220192192
1999,Mzimba,Mzimba Hora,2.5116805557500275
1999,Mzimba,Mzimba Luwerezi,2.174964212909614
1999,Mzimba,Mzimba North,2.3173586851743537
1999,Mzimba,Mzimba North-East,2.1440133483103025
1999,Mzimba,Mzimba Solora,2.0175989375259156
1999,Mzimba,Mzimba South,2.1888807752885175
1999,Mzimba,Mzimba South-East,2.9735752014987997
1999,Mzimba,Mzimba South-West,2.526567979646826
1999,Mzimba,Mzimba West,1.6680593757728046
1999,Mzimba,Mzuzu City,1.352965406309701
1999,Nkhata Bay,Nkhata Bay Central,3.0536399409240444
1999,Nkhata Bay,Nkhata Bay North-West,2.5478031320914996
1999,Nkhata Bay,Nkhata Bay South,2.0412727448047594
1999,Nkhata Bay,Nkhata Bay South-East,2.707420690762824
1999,Nkhata Bay,Nkhata Bay West,2.6543878167154387
1999,Nkhata Bay,Nkhatabay East,2.867521570892202
1999,Nkhata Bay,Nkhatabay North,2.7536456820331656
1999,Nkhotakota,Nkhotakota Central,2.789485678966153
1999,Nkhotakota,Nkhotakota North,2.898364118038805
1999,Nkhotakota,Nkhotakota North-East,3.868645172663271
1999,Nkhotakota,Nkhotakota South,2.673206140995212
1999,Nkhotakota,Nkhotakota South-East,2.6379544031313005
1999,Nsanje,Nsanje Central,1.9750010743638515
1999,Nsanje,Nsanje Lalanje,1.7342699429135118
1999,Nsanje,Nsanje North,1.879603339417998
1999,Nsanje,Nsanje South,2.168489708380929
1999,Nsanje,Nsanje South-West,1.594211468679601
1999,Ntcheu,Ntcheu Bwanje North,1.2703381550610442
1999,Ntcheu,Ntcheu Bwanje South,2.1243579641457755
1999,Ntcheu,Ntcheu Central,1.5983430520650366
1999,Ntcheu,Ntcheu North,2.020196951060407
1999,Ntcheu,Ntcheu North-East,2.1241492001341475
1999,Ntcheu,Ntcheu South,2.440608510246423
1999,Ntcheu,Ntcheu West,2.5058300553075274
1999,Ntchisi,Ntchisi East,2.1274351565558858
1999,Ntchisi,Ntchisi North,2.5115540062263713
1999,Ntchisi,Ntchisi North-East,1.8554470983813631
